LINE_ITEM_NAME,Actual_eCPM
PWT_5b192a8c96669_770.856,-
PWT_5b192bb1e9219_970.452,-
PWT_5b1931092505d_301.545,-
PWT_5b1931092505d_357.959,-
PWT_5b1931092505d_347.214,-
PWT_5b19295399fe7_586.28,-
PWT_5b192a8c96669_740.653,-
PWT_5b192a8c96669_831.263,-
PWT_5b19295399fe7_559.433,-
PWT_5b19295399fe7_576.212,-
PWT_5b192bb1e9219_990.6,-
PWT_5b19295399fe7_462.111,-
PWT_5b19295399fe7_629.907,-
PWT_5b1931092505d_329.752,-
PWT_5b1931092505d_360.645,-
PWT_5b192a8c96669_854.754,-
PWT_5b1931092505d_310.948,-
PWT_5b192a8c96669_777.568,-
PWT_5b192bb1e9219_1030.895,-
PWT_5b192a8c96669_643.331,-
PWT_5b192a8c96669_801.059,-
PWT_5b192bb1e9219_923.44,-
PWT_5b19295399fe7_535.941,-
PWT_5b19307a78e7e_260.578,-
PWT_5b19295399fe7_569.5,-
PWT_5b19295399fe7_475.535,-
PWT_5b19295399fe7_539.297,-
PWT_5b192bb1e9219_1051.043,-
PWT_5b19295399fe7_468.823,-
PWT_5b192a8c96669_841.33,-
PWT_5b192bb1e9219_1037.611,-
PWT_5b1931092505d_335.125,-
PWT_5b1931092505d_339.154,-
PWT_5b192bb1e9219_1017.463,-
PWT_5b192a8c96669_693.67,-
PWT_5b192a8c96669_851.398,-
PWT_5b19307a78e7e_248.489,-
PWT_5b192bb1e9219_1071.191,-
PWT_5b1931092505d_344.527,-
PWT_5b192a8c96669_895.025,-
PWT_5b192a8c96669_881.601,-
PWT_5b192a8c96669_868.178,-
PWT_5b192bb1e9219_997.316,-
PWT_5b192a8c96669_703.737,-
PWT_5b192a8c96669_760.788,-
PWT_5b192bb1e9219_1185.362,-
PWT_5b192a8c96669_690.314,-
PWT_5b192a8c96669_858.11,-
PWT_5b192a8c96669_713.805,-
PWT_5b192a8c96669_898.381,-
PWT_5b192bb1e9219_1306.248,-
PWT_5b192a8c96669_710.449,-
PWT_5b192a8c96669_727.229,-
PWT_5b192bb1e9219_1077.907,-
PWT_5b192a8c96669_824.551,-
PWT_5b192a8c96669_680.246,-
PWT_5b192a8c96669_646.687,-
PWT_5b192a8c96669_717.161,-
PWT_5b192bb1e9219_1259.237,-
PWT_5b192a8c96669_901.737,-
PWT_5b192bb1e9219_977.168,-
PWT_5b192a8c96669_888.313,-
PWT_5b192a8c96669_891.669,-
PWT_5b192bb1e9219_1192.078,-
PWT_5b192a8c96669_780.924,-
PWT_5b192bb1e9219_1118.202,-
PWT_5b192a8c96669_666.822,-
PWT_5b192a8c96669_670.178,-
PWT_5b192bb1e9219_1339.828,-
PWT_5b192bb1e9219_1333.112,-
PWT_5b192bb1e9219_1044.327,-
PWT_5b192a8c96669_754.076,-
PWT_5b192a8c96669_686.958,-
PWT_5b192bb1e9219_1299.532,-
PWT_5b192a8c96669_811.127,-
PWT_5b1931092505d_364.675,-
PWT_5b192bb1e9219_1024.179,-
PWT_5b192a8c96669_884.957,-
Exponential monthly Campaign Desktop,39.13
PWT_5b192a8c96669_821.195,-
PWT_5b192bb1e9219_1098.055,-
PWT_5b192bb1e9219_1158.498,-
PWT_5b192bb1e9219_1084.623,-
PWT_5b192a8c96669_660.11,-
PWT_5b192a8c96669_737.297,-
PWT_5b192bb1e9219_1111.486,-
